ID,LANGUAGE_ID,ACRONYM,LABEL
GP1207,GA,EFD,An Grúpa d’Eoraip na Saoirse agus an Daonlathais
GP1207,HR,EFD,Klub zastupnika Europe slobode i demokracije
GP1207,HU,EFD,a Szabadság és Demokrácia Európája képviselőcsoport
GP1207,IT,EFD,Gruppo Europa della Libertà e della Democrazia
GP1207,LV,EFD,Grupa „Brīvības un demokrātijas Eiropa”
GP1207,LT,EFD,Frakcija „Laisvės ir demokratijos Europa“
GP1207,MT,EFD,Grupp għall Ewropa ħielsa u demokratika
GP1207,NL,EFD,Europa van vrijheid en democratie
GP1207,PL,EFD,Europa Wolności i Demokracji
GP1207,PT,EFD,Europa da Liberdade e da Democracia
GP1207,RO,EFD,Grupul Europa Libertății și Democrației
GP1207,SK,EFD,Skupina Európa slobody a demokracie
GP1207,SL,EFD,Skupina Evropa svobode in demokracije
GP1207,SV,EFD,Gruppen Frihet och demokrati i Europa
NA,EN,NI,Non-attached Members
NA,ES,NI,No inscritos
NA,BG,НЧ,Независими членове
NA,CS,NI,Nezařazení poslanci
NA,DA,NI,Løsgængere
NA,DE,NI,Fraktionslos
NA,EL,NI,Μη Εγγεγραμμένοι
NA,ET,NI,Fraktsioonilise kuuluvuseta parlamendiliikmed
NA,FI,NI,Sitoutumattomat
NA,FR,NI,Non-inscrits
NA,GA,NI,Feisirí Neamhcheangailte
NA,HR,NI,Nezavisni zastupnici
NA,HU,NI,független képviselők
NA,IT,NI,Non iscritti
NA,LV,NI,Pie politiskajām grupām nepiederošie deputāti
NA,LT,NI,Nepriklausomi nariai
NA,MT,NI,Membri mhux affiljati
NA,NL,NI,Niet-fractiegebonden leden
NA,PL,NI,Niezrzeszeni
NA,PT,NI,Não Inscritos
NA,RO,NI,Deputați neafiliați
NA,SK,NI,Nezaradení poslanci
NA,SL,NI,Samostojni poslanci
NA,SV,NI,Grupplösa
